excel_row,type_column,type_value,title_column,title,body_column,body
4,B,Information,C,Document Header,V,"Hardware Requirement and Design Specification

[Project Name]

**Revision History**

* 在此文件中有任何變動，文件撰寫者須進行小版次[y]的進版，並在說明欄位填寫與前一版之差異。

Any adjustment in this document, editor should update the version of [y] and clarify the difference between previous version.

* 大版號[x]之變動，由CM經理依據基準完成後進行調整。說明欄位須將此基準審查JIRA單號列入。

The version of [x] adjustment, CM manager should adjust after baseline process is completed, should fill out the JIRA No. into the description column.

* 視需求，可自行增加欄位

Extend, as necessary.

| Revision | Date | Description | Author |
| --- | --- | --- | --- |
| [x.y] | YYYY/MM/DD | Detail change information | Name |
|  |  |  |  |

|  |
| --- |
| * **[綠色]中的句子表示不屬於目前交付的可交付成果，需填入實際成果名稱**   **The sentences in [Green] represent the deliverables that are not part of current delivery. Should fill out the actual deliverables.** |
| * **使用您的專案資料完成本文內容**   **Complete below all contents with your project information** |
| * **內文請用英文撰寫為主**   **Please write the main text primarily in English.** |
| * **刪除空白表格與欄位**   **Delete empty tables** |
| * **完成時，須把所有文字轉成黑體並刪除所有以項目符號開頭的綠色說明**   **Upon completion, all text must be converted to bold, and all green bullet-pointed notes must be deleted.** |"
5,B,Information,C,Hardware Basic Design,V,Provide an overview of the basic hardware design philosophy and non-safety-related functional design. / 概述硬體的基本設計理念和非安全相關的功能設計。
6,B,Information,C,Hardware architecture block diagram,V,"Draw a high-level block diagram of the product's hardware architecture. The diagram should include all major functional units (e.g., MCU, Power Supply, Communication Interfaces, Sensors/Actuators) and their interconnections. / 繪製產品硬體架構的高階方塊圖。圖中應包含所有主要功能單元（如 MCU, Power Supply, Communication Interfaces, Sensors/Actuators）及其相互連接關係。

The purpose of this work process is to perform basic design on the hardware level based on the system block diagram defined in the system design in Part 4, excluding safety mechanisms."
7,B,Information,C,Hardware design,V,"Describe the detailed hardware design, including key component selection, circuit design principles, power management scheme, and clocking scheme. / 描述硬體設計的詳細內容，包括關鍵元件選型、電路設計原則、電源管理方案、時脈方案等。"
8,B,Information,C,Summary of hardware components (basic functions),V,"|  |  |  |  |
| --- | --- | --- | --- |
| HW ID | Focus Elements | Function and requirement description | Safety related (Y/N) |
| **HW ID of focus element.** | **Focus element name.** | **Non-safety function and requirements of focus elements.** | **Is the focus element related to safety** |
| HW-001 | PCIe PHY | ．PCIe protocal handling  ．Transmit Application Control | Y |
| HW-002 | PCIe MAC | ．PCIe protocol handling  ．Transmit Application Control | Y |
| HW-003 | NVMe | ．NVNe | Y |
|  |  |  |  |"
9,B,Information,C,Focus element (basic functions),V,
10,B,Information,C,Hardware Design,V,"Introduction of focus elements, each focus elements topic including following sections :"
11,B,Information,C,[Focus element(HW-ID)],V,
12,B,Information,C,Overview,V,This section enumerates the focus element’s basic description.
13,B,Information,C,Function,V,This section enumerates the focus element’s functions.
